Release Date   	Day of Week   	Type   	Toon   	Watch   	Easter Eggs   	Runtime
July 26, 2018	Thursday	Kickstarter	Meeple Grove	watch	(N/A)	1:55
July 31, 2018	Tuesday	Endorsement	The Aquabats Super Show Kickstarter	watch	(N/A)	7:35
August 1, 2018	Wednesday	Kickstarter	Wyrmwood Video	watch	(N/A)	3:43
August 8, 2018	Wednesday	Skills of an Artist	Really Cool Boat	watch	(N/A)	2:52
August 12, 2018	Sunday	Kickstarter	SBCG4AP Playthrough	watch	(N/A)	1:48:11
August 13, 2018	Monday	Six-Sadded, Die	Six-Sadded, Die. - Don't Make Daddy P.O.'d	watch	(N/A)	8:36
August 13, 2018	Monday	The Deleteheads Download	Volume 3	(N/A)	(N/A)	(N/A)
August 15, 2018	Wednesday	Kickstarter	Final Hours Playthrough	watch	(N/A)	1:01:01
August 27, 2018	Monday	Six-Sadded, Die	Six-Sadded, Die. - Peasant Burnination	watch	(N/A)	4:53
September 13, 2018	Thursday	Uncategorized	Trogdor Was Dragon Man	watch	0	2:17
October 18, 2018	Thursday	Holiday Toon	Mr. Poofers Must Die Teaser‎	watch	1	0:36
October 25, 2018	Thursday	YouTube	Stack 'Em to the Heavens!	watch	(N/A)	1:03
October 30, 2018	Tuesday	Holiday Toon	Mr. Poofers Must Die	watch	(N/A)	9:25
October 30, 2018	Tuesday	Six-Sadded, Die	Six-Sadded, Die. - Trogdor's Fiery Rage	watch	(N/A)	4:30
November 12, 2018	Monday	Holiday Toon	Fan Costumes 2018	watch	0	4:01
January 8, 2019	Tuesday	Kickstarter	Trogdor Playthrough with Strong Bad & friends!	watch	(N/A)	1:29:55
April 26, 2019	Friday	YouTube	Quickstart Overview	watch	(N/A)	2:29
May 7, 2019	Tuesday	Six-Sadded, Die	Six-Sadded, Die. - The Void Tower	watch	(N/A)	2:31
May 10, 2019	Friday	YouTube	Trogdor's Fiery Rage	watch	(N/A)	2:46
June 15, 2019	Saturday	Kickstarter	The Actions You Can Do	watch	(N/A)	0:56
July 12, 2019	Friday	Six-Sadded, Die	Six Sadded Die - Trogdor!! The Board Game Unboxing	watch	(N/A)	7:25
October 22, 2019	Tuesday	Holiday Toon	The Homestar Runner Enters the Spooky Woods Teaser	watch	1	0:43
October 30, 2019	Wednesday	Holiday Toon	The Homestar Runner Enters the Spooky Woods	watch	14	6:06
November 23, 2019	Saturday	Holiday Toon	Fan Costumes 2019	watch	0	5:38
